,Unique ID ,Parent ID,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
,130,119,Human Resources,Business and Industrial,Human Resources,,,
,131,119,Industrial Storage,Business and Industrial,Industrial Storage,,,
,132,119,Industrials,Business and Industrial,Industrials,,,
,133,132,Aerospace and Defense,Business and Industrial,Industrials,Aerospace and Defense,,
,134,132,Construction and Engineering,Business and Industrial,Industrials,Construction and Engineering,,
,135,132,Industrial Conglomerates,Business and Industrial,Industrials,Industrial Conglomerates,,
,136,132,Trading Companies and Distributors,Business and Industrial,Industrials,Trading Companies and Distributors,,
,137,132,Transportation,Business and Industrial,Industrials,Transportation,,
,138,119,Laundry and Dry Cleaning Services,Business and Industrial,Laundry and Dry Cleaning Services,,,
,139,119,Law Enforcement,Business and Industrial,Law Enforcement,,,
,140,119,Manufacturing,Business and Industrial,Manufacturing,,,
,141,119,Material Handling,Business and Industrial,Material Handling,,,
,142,119,Medical and Biotechnology,Business and Industrial,Medical and Biotechnology,,,
,143,119,Mining and Quarrying,Business and Industrial,Mining and Quarrying,,,
,144,119,Photographers,Business and Industrial,Photographers,,,
,145,119,Printing/Fax/WiFi Services,Business and Industrial,Printing/Fax/WiFi Services,,,
,146,119,Public Relations and Strategic Communication,Business and Industrial,Public Relations and Strategic Communication,,,
,147,119,Retail,Business and Industrial,Retail,,,
,148,147,Cell Phone Stores,Business and Industrial,Retail,Cell Phone Stores,,
,149,147,Music Stores,Business and Industrial,Retail,Music Stores,,
,150,147,Grocery Stores and Supermarkets,Business and Industrial,Retail,Grocery Stores and Supermarkets,,
,151,147,Shopping Malls,Business and Industrial,Retail,Shopping Malls,,
,152,147,Department Stores,Business and Industrial,Retail,Department Stores,,
,153,147,Specialty Stores,Business and Industrial,Retail,Specialty Stores,,
,154,147,Pawn Shops,Business and Industrial,Retail,Pawn Shops,,
,155,147,Factory Outlet Stores,Business and Industrial,Retail,Factory Outlet Stores,,
,156,119,Science and Laboratory,Business and Industrial,Science and Laboratory,,,
,157,119,Signage,Business and Industrial,Signage,,,
,158,119,Small Business,Business and Industrial,Small Business,,,
,159,119,Telecom Services,Business and Industrial,Telecom Services,,,
,160,159,Home Internet Services,Business and Industrial,Telecom Services,Home Internet Services,,
,161,159,Home Television Services,Business and Industrial,Telecom Services,Home Television Services,,
,162,159,Home Phone Services,Business and Industrial,Telecom Services,Home Phone Services,,
,163,159,Mobile Phone Plans,Business and Industrial,Telecom Services,Mobile Phone Plans,,
,164,159,Prepaid International Phone Services,Business and Industrial,Telecom Services,Prepaid International Phone Services,,
,165,159,Business Telecom Services,Business and Industrial,Telecom Services,Business Telecom Services,,
,166,119,Waste Disposal and Recycling,Business and Industrial,Waste Disposal and Recycling,,,
,167,,Clothing and Accessories,Clothing and Accessories,,,,
,168,167,Clothing,Clothing and Accessories,Clothing,,,
,169,168,Children's Clothing,Clothing and Accessories,Clothing,Children's Clothing,,
,170,168,Men's Clothing,Clothing and Accessories,Clothing,Men's Clothing,,
,171,168,Women's Clothing,Clothing and Accessories,Clothing,Women's Clothing,,
,172,168,Wedding Dresses/Bridal Wear/Tuxedos,Clothing and Accessories,Clothing,Wedding Dresses/Bridal Wear/Tuxedos,,
,173,168,Maternity Clothing,Clothing and Accessories,Clothing,Maternity Clothing,,
,174,168,Underwear and Lingerie,Clothing and Accessories,Clothing,Underwear and Lingerie,,
,175,168,Sportswear,Clothing and Accessories,Clothing,Sportswear,,
,176,167,Clothing Accessories,Clothing and Accessories,Clothing Accessories,,,
,177,167,Costumes and Accessories,Clothing and Accessories,Costumes and Accessories,,,
,178,167,Footwear,Clothing and Accessories,Footwear,,,
,179,167,Footwear Accessories,Clothing and Accessories,Footwear Accessories,,,
,180,167,Handbags and Wallets,Clothing and Accessories,Handbags and Wallets,,,
,181,167,Jewelry and Watches,Clothing and Accessories,Jewelry and Watches,,,
,182,167,Sunglasses,Clothing and Accessories,Sunglasses,,,
,183,,Collectables and Antiques,Collectables and Antiques,,,,
,184,183,Antiques,Collectables and Antiques,Antiques,,,
,185,183,Coins and Paper Money,Collectables and Antiques,Coins and Paper Money,,,
,186,183,Collectibles,Collectables and Antiques,Collectibles,,,
,187,183,Entertainment Memorabilia,Collectables and Antiques,Entertainment Memorabilia,,,
,188,183,Sports Memorabilia and Trading Cards,Collectables and Antiques,Sports Memorabilia and Trading Cards,,,
,189,183,Stamps,Collectables and Antiques,Stamps,,,
,190,,Consumer Electronics,Consumer Electronics,,,,
,191,190,Arcade Equipment,Consumer Electronics,Arcade Equipment,,,
,192,190,Audio,Consumer Electronics,Audio,,,
,193,192,CD Players,Consumer Electronics,Audio,CD Players,,
,194,192,Headphones,Consumer Electronics,Audio,Headphones,,
,195,190,Cameras and Photo,Consumer Electronics,Cameras and Photo,,,
,196,195,Camera and Photo Accessories,Consumer Electronics,Cameras and Photo,Camera and Photo Accessories,,
,197,195,Cameras,Consumer Electronics,Cameras and Photo,Cameras,,
,198,190,Circuit Boards and Components,Consumer Electronics,Circuit Boards and Components,,,
,199,190,Communications Electronics,Consumer Electronics,Communications Electronics,,,
,200,190,Components,Consumer Electronics,Components,,,
,201,190,Computers,Consumer Electronics,Computers,,,
,202,201,Laptops,Consumer Electronics,Computers,Laptops,,
,203,201,Desktops,Consumer Electronics,Computers,Desktops,,
,204,190,E-Readers,Consumer Electronics,E-Readers,,,
,205,190,Electronics Accessories,Consumer Electronics,Electronics Accessories,,,
,206,190,Home Theater Systems,Consumer Electronics,Home Theater Systems,,,
,207,190,Marine Electronics,Consumer Electronics,Marine Electronics,,,
,208,190,Mobile Phone Plans,Consumer Electronics,Mobile Phone Plans,,,
,209,190,Mobile Phones and Accessories,Consumer Electronics,Mobile Phones and Accessories,,,
,210,190,Networking,Consumer Electronics,Networking,,,
