New Taxonomy ID	OLD RTB ID	OLD SUBJECT (v1)	New subject (v2)			NOT MAPPED (deprecated)	
4	IAB2-20	Sedan	Sedan				
307	IAB7-39	Sexuality	Sexual Health				
605	IAB19-30	Shareware/Freeware	Shareware and Freeware				
473	IAB22	Shopping	Shopping				
503	IAB17-34	Skateboarding	Skateboarding				
531	IAB17-35	Skiing	Skiing				
309	IAB7-19	Dermatology	Skin and Dermatology				
310	IAB7-40	Sleep Disorders	Sleep Disorders				
635	IAB19-6	Cell phones	Smartphones				
237	IAB7-41	Smoking Cessation	Smoking Cessation				
504	IAB17-36	Snowboarding	Snowboarding				
533	IAB17-44	World Soccer	Soccer				
662	IAB20-23	South America	South America Travel				
472	IAB15-7	Space/Astronomy	Space and Astronomy				
671	IAB20-24	Spas	Spas				
136	IAB5-14	Special Ed	Special Education				
199	IAB6-8	Special Needs Kids	Special Needs Kids				
483	IAB17	Sports	Sports				
263	IAB9-29	Stamps & Coins	Stamps and Coins				
5	IAB2-23	Wagon	Station Wagon				
414	IAB13-11	Stocks	Stocks and Bonds				
395	IAB4-3	Financial Aid	Student Financial Aid				
552	IAB18	Style & fashion	Style & Fashion				
311	IAB7-42	Substance Abuse	Substance Abuse				
505	IAB17-37	Surfing/Bodyboarding	Surfing and Bodyboarding				
537	IAB17-38	Swimming	Swimming				
538	IAB17-39	Table Tennis/Ping-pong	Table Tennis				
636	IAB19-26	Palmtops/PDAs	Tablets and E-readers				
596	IAB19	Technology & Computing	Technology & Computing				
640	IAB1-7	Television	Television				
539	IAB17-40	Tennis	Tennis				
293	IAB7-43	Thyroid Disease	Thyroid Disorders				
653	IAB20	Travel	Travel				
212	IAB8-16	Vegan	Vegan Diets				
213	IAB8-17	Vegetarian	Vegetarian Diets				
430	IAB16-7	Veterinary medicine	Veterinary Medicine				
680	IAB9-30	Video & Computer Games	Video Gaming				
541	IAB17-41	Volleyball	Volleyball				
542	IAB17-42	Walking	Walking				
506	IAB17-43	Waterski/Wakeboard	Waterskiing and Wakeboarding				
390	IAB15-10	Weather	Weather				
607	IAB19-23	Net Conferencing	Web Conferencing				
629	IAB19-34	Web Design/HTML	Web Design and HTML				
165	IAB14-7	Weddings	Wedding				
231	IAB7-44	Weight Loss	Weight Loss				
238	IAB7-45	Women's Health	Women's Health				
257	IAB9-31	Woodworking	Woodworking				
135	IAB5-1	7-12 Education	Secondary Education				
							
301	IAB7-2	A.D.D.	Mental Health				
561	IAB18-6	Accessories	Women's Accessories				
580	IAB18-6	Accessories	Men's Accessories				
297	IAB7-3	AIDS/HIV	Infectious Diseases				
453	IAB23-1	Alternative Religions	Religion & Spirituality				
214	IAB8-1	American Cuisine	World Cuisines				
312	IAB7-6	Arthritis	Bone and Joint Conditions				
300	IAB7-7	Asthma	Lung and Respiratory Health				
301	IAB7-8	Autism/PDD	Mental Health				
410	IAB13-1	Beginning Investing	Personal Investing				
301	IAB7-9	Bipolar Disorder	Mental Health				
465	IAB15-9	Botany	Biological Sciences				
313	IAB7-10	Brain Tumor	Brain and Nervous System Disorders				
602	IAB3-4	Business Software	Computer Software and Applications				
660	IAB20-8	By US Locale	North America Travel				
214	IAB8-3	Cajun/Creole	World Cuisines				
660	IAB20-10	Canada	North America Travel				
314	IAB7-11	Cancer	Cancer				
660	IAB20-11	Caribbean	North America Travel				
459	IAB23-4	Catholicism	Christianity				
270	IAB9-8	Chess	Board Games and Puzzles				
214	IAB8-4	Chinese Cuisine	World Cuisines				
306	IAB7-12	Cholesterol	Blood Disorders				
