Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Pet and Pet Supply Stores	1505	Retail	Pet and Pet Supply Stores		Pets	IAB16	Pets	
Shopping Malls	1506	Retail	Shopping Malls		Shopping	IAB22	Shopping	
Specialty Stores	1507	Retail	Specialty Stores		Shopping	IAB22	Shopping	
Sporting Goods Stores	1508	Retail	Sporting Goods Stores		Sports	IAB17	Sports	
Ticket Services	1509	Retail	Ticket Services		Arts & Entertainment	IAB1	Arts & Entertainment	
Fitness Activities	1510	Fitness Activities			Sports	IAB17	Sports	
Dance Studios	1511	Fitness Activities	Dance Studios		Sports	IAB17	Sports	
Gyms and Health Clubs	1512	Fitness Activities	Gyms and Health Clubs		Sports	IAB17	Sports	
Participant Sports Leagues	1513	Fitness Activities	Participant Sports Leagues		Sports	IAB17	Sports	
Personal Trainers	1514	Fitness Activities	Personal Trainers		Health & Fitness	IAB7	Health & Fitness	
Self Defense and Martial Arts Classes	1515	Fitness Activities	Self Defense and Martial Arts Classes		Martial Arts	IAB17-20	Sports	Martial Arts
Swimming Facilities	1516	Fitness Activities	Swimming Facilities		Swimming	IAB17-38	Sports	Swimming
Workout and Step Tracking Applications	1517	Fitness Activities	Workout and Step Tracking Applications		Walking	IAB17-42	Sports	Walking
Yoga Studios	1518	Fitness Activities	Yoga Studios		Sports	IAB17	Sports	
Sexual Health	1519	Sexual Health			Health & Fitness	IAB7	Health & Fitness	
Contraceptives	1520	Sexual Health	Contraceptives		Health & Fitness	IAB7	Health & Fitness	
Doctor Perscribed Medicines	1521	Sexual Health	Doctor Perscribed Medicines		Health & Fitness	IAB7	Health & Fitness	
Fertility Tracking Applications	1522	Sexual Health	Fertility Tracking Applications		Infertility	IAB7-30	Health & Fitness	Infertility
Non-perscribed Performance Enhancers	1523	Sexual Health	Non-Perscribed Performance Enhancers		Health & Fitness	IAB7	Health & Fitness	
Sporting Goods	1524	Sporting Goods			Sports	IAB17	Sports	
Athletics Equipment	1525	Sporting Goods	Athletics Equipment		Sports	IAB17	Sports	
Exercise and Fitness Equipment	1526	Sporting Goods	Exercise and Fitness Equipment		Exercise	IAB7-1	Health & Fitness	Exercise
Indoor Games Equipment	1527	Sporting Goods	Indoor Games Equipment		Sports	IAB17	Sports	
Outdoor Recreation Equipment	1528	Sporting Goods	Outdoor Recreation Equipment		Sports	IAB17	Sports	
Travel and Tourism	1529	Travel and Tourism			Travel	IAB20	Travel	
Accomodations	1530	Travel and Tourism	Accomodations		Travel	IAB20	Travel	
Bed and Breakfasts	1531	Travel and Tourism	Accomodations	Bed and Breakfasts	Bed & Breakfasts	IAB20-5	Travel	Bed & Breakfasts
Camping and Camp Grounds	1532	Travel and Tourism	Accomodations	Camping and Camp Grounds	Camping	IAB20-9	Travel	Camping
Hotels and Resorts	1533	Travel and Tourism	Accomodations	Hotels and Resorts	Hotels	IAB20-18	Travel	Hotels
Motels	1534	Travel and Tourism	Accomodations	Motels	Budget Travel	IAB20-6	Travel	Budget Travel
Timeshares	1535	Travel and Tourism	Accomodations	Timeshares	Travel	IAB20	Travel	
Vacation Rentals	1536	Travel and Tourism	Accomodations	Vacation Rentals	Travel	IAB20	Travel	
Air Travel	1537	Travel and Tourism	Air Travel		Air Travel	IAB20-3	Travel	Air Travel
Cruises	1538	Travel and Tourism	Cruises		Cruises	IAB20-12	Travel	Cruises
Rail Travel	1539	Travel and Tourism	Rail Travel		Travel	IAB20	Travel	
Sightseeing Tours and Activities	1540	Travel and Tourism	Sightseeing Tours and Activities		Travel	IAB20	Travel	
Travel Agents and Online Travel Services	1541	Travel and Tourism	Travel Agents and Online Travel Services		Travel	IAB20	Travel	
Travel Packages	1542	Travel and Tourism	Travel Packages		Travel	IAB20	Travel	
Travel Planning and Itinerary Management Applications	1543	Travel and Tourism	Travel Planning and Itinerary Management Applications		Travel	IAB20	Travel	
Tobacco	1544	Tobacco			Non-Standard Content	IAB25	Non-Standard Content	
Cigars	1545	Tobacco	Cigars		Non-Standard Content	IAB25	Non-Standard Content	
Cigarettes	1546	Tobacco	Cigarettes		Non-Standard Content	IAB25	Non-Standard Content	
Smokeless Tobacco	1547	Tobacco	Smokeless Tobacco		Non-Standard Content	IAB25	Non-Standard Content	
Vaping	1548	Tobacco	Vaping		Non-Standard Content	IAB25	Non-Standard Content	
Vaping Cartridges	1549	Tobacco	Vaping Cartridges		Non-Standard Content	IAB25	Non-Standard Content	
Vaporizors	1550	Tobacco	Vaporizors		Non-Standard Content	IAB25	Non-Standard Content	
Vehicles	1551	Vehicles			Automotive	IAB2	Automotive	
Automotive Leasing	1552	Vehicles	Automotive Leasing		Automotive	IAB2	Automotive	
Automotive Ownership	1553	Vehicles	Automotive Ownership		Buying/Selling Cars	IAB2-3	Automotive	Buying/Selling Cars
New vehicle Ownership	1554	Vehicles	Automotive Ownership	New Vehicle Ownership	Buying/Selling Cars	IAB2-3	Automotive	Buying/Selling Cars
Pre-owned Automotive Ownership	1555	Vehicles	Automotive Ownership	Pre-owned Automotive Ownership	Certified Pre-Owned	IAB2-5	Automotive	Certified Pre-Owned
Automotive Products	1556	Vehicles	Automotive Products		Automotive	IAB2	Automotive	
Automotive Care Products	1557	Vehicles	Automotive Products	Automotive Care Products	Automotive	IAB2	Automotive	
Automotive Parts and Accessories	1558	Vehicles	Automotive Products	Automotive Parts and Accessories	Auto Parts	IAB2-1	Automotive	Auto Parts
Aftermarket Parts and Accessories	1559	Vehicles	Automotive Products	Aftermarket Parts and Accessories	Auto Parts	IAB2-1	Automotive	Auto Parts
Automotive Services	1560	Vehicles	Automotive Services		Automotive	IAB2	Automotive	
Auto Towing	1561	Vehicles	Automotive Services	Auto Towing	Automotive	IAB2	Automotive	
Auto Repair	1562	Vehicles	Automotive Services	Auto Repair	Auto Repair	IAB2-2	Automotive	Auto Repair
Car Wash	1563	Vehicles	Automotive Services	Car Wash	Automotive	IAB2	Automotive	
Automotive Sales Applications	1564	Vehicles	Automotive Sales Applications		Automotive	IAB2	Automotive	
Ride-sharing Services	1565	Vehicles	Ride-sharing Services		Automotive	IAB2	Automotive	
Taxi Services	1566	Vehicles	Taxi Services		Automotive	IAB2	Automotive	
Vehicle Rental	1567	Vehicles	Vehicle Rental		Automotive	IAB2	Automotive	
Vehicle Type	1568	Vehicles	Vehicle Type		Automotive	IAB2	Automotive	
Boats	1569	Vehicles	Vehicle Type	Boats	Automotive	IAB2	Automotive	
Diesel Vehicles	1570	Vehicles	Vehicle Type	Diesel Vehicles	Diesel	IAB2-9	Automotive	Diesel
Electric Vehicles	1571	Vehicles	Vehicle Type	Electric Vehicles	Electric Vehicle	IAB2-10	Automotive	Electric Vehicle
Gas Vehicles	1572	Vehicles	Vehicle Type	Gas Vehicles	Automotive	IAB2	Automotive	
Hybrid Vehicles	1573	Vehicles	Vehicle Type	Hybrid Vehicles	Hybrid	IAB2-12	Automotive	Hybrid
Recreational Vehicles	1574	Vehicles	Vehicle Type	Recreational Vehicles	Off-Road Vehicles	IAB2-16	Automotive	Off-Road Vehicles
Scooters, Motorbikes, and E-bikes	1575	Vehicles	Vehicle Type	Scooters, Motorbikes, and E-bikes	Automotive	IAB2	Automotive	
Weapons and Ammunition	1576	Weapons and Ammunition			Non-Standard Content	IAB25	Non-Standard Content	
Ammunition	1577	Weapons and Ammunition	Ammunition		Non-Standard Content	IAB25	Non-Standard Content	
Guns	1578	Weapons and Ammunition	Guns		Non-Standard Content	IAB25	Non-Standard Content	
Gun Accessories	1579	Weapons and Ammunition	Gun Accessories		Non-Standard Content	IAB25	Non-Standard Content	
Gun Shows and Auctions	1580	Weapons and Ammunition	Gun Shows and Auctions		Non-Standard Content	IAB25	Non-Standard Content	
Non-Projectile Weapons	1581	Weapons and Ammunition	Non-Projectile Weapons		Non-Standard Content	IAB25	Non-Standard Content	
Taster and Stun Guns	1582	Weapons and Ammunition	Taster and Stun Guns		Non-Standard Content	IAB25	Non-Standard Content	
