Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Cosmetic Services	1088	Cosmetic Services			Beauty	IAB18-1	Style & Fashion	Beauty
Beauty Salons	1089	Cosmetic Services	Beauty Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Salons	1090	Cosmetic Services	Hair Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Removal	1091	Cosmetic Services	Hair Removal		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Restoration	1092	Cosmetic Services	Hair Restoration		Beauty	IAB18-1	Style & Fashion	Beauty
Nail Salons	1093	Cosmetic Services	Nail Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Med Spas	1094	Cosmetic Services	Med Spas		Beauty	IAB18-1	Style & Fashion	Beauty
Piercing and Tattooing	1095	Cosmetic Services	Piercing and Tattooing		Body Art	IAB18-2	Style & Fashion	Body Art
Tanning Salons	1096	Cosmetic Services	Tanning Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Consumer Electronics	1097	Consumer Electronics			Technology & Computing	IAB19	Technology & Computing	
Arcade Equipment	1098	Consumer Electronics	Arcade Equipment		Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
Camcorders	1099	Consumer Electronics	Camcorders		Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Cameras and Photo	1100	Consumer Electronics	Cameras and Photo		Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Camera and Photo Accessories	1101	Consumer Electronics	Cameras and Photo	Camera and Photo Accessories	Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Cameras	1102	Consumer Electronics	Cameras and Photo	Cameras	Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Photo Applications	1103	Consumer Electronics	Cameras and Photo	Photo Applications	Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Circuit Boards and Components	1104	Consumer Electronics	Circuit Boards and Components		Technology & Computing	IAB19	Technology & Computing	
Communications Electronics	1105	Consumer Electronics	Communications Electronics		Technology & Computing	IAB19	Technology & Computing	
Computers	1106	Consumer Electronics	Computers		Technology & Computing	IAB19	Technology & Computing	
Laptops	1107	Consumer Electronics	Computers	Laptops	Portable	IAB19-28	Technology & Computing	Portable
Desktops	1108	Consumer Electronics	Computers	Desktops	Technology & Computing	IAB19	Technology & Computing	
E-Readers	1109	Consumer Electronics	E-Readers		Portable	IAB19-28	Technology & Computing	Portable
Electronics Accessories	1110	Consumer Electronics	Electronics Accessories		Technology & Computing	IAB19	Technology & Computing	
Headphones	1111	Consumer Electronics	Headphones		Technology & Computing	IAB19	Technology & Computing	
Home Theater Systems	1112	Consumer Electronics	Home Theater Systems		Home Theater	IAB10-6	Home & Garden	Home Theater
Marine Electronics	1113	Consumer Electronics	Marine Electronics		Technology & Computing	IAB19	Technology & Computing	
Mobile Phones and Accessories	1114	Consumer Electronics	Mobile Phones and Accessories		Cell Phones	IAB19-6	Technology & Computing	Cell Phones
Networking	1115	Consumer Electronics	Networking		Computer Networking	IAB19-8	Technology & Computing	Computer Networking
Printers/Copiers/Scanners/Fax	1116	Consumer Electronics	Printers/Copiers/Scanners/Fax		Technology & Computing	IAB19	Technology & Computing	
Security Devices	1117	Consumer Electronics	Security Devices		Network Security	IAB19-25	Technology & Computing	Network Security
Tablets	1118	Consumer Electronics	Tablets		Portable	IAB19-28	Technology & Computing	Portable
Televisions	1119	Consumer Electronics	Televisions		Entertainment	IAB19-29	Arts & Entertainment	Entertainment
Video Games and Consoles	1120	Consumer Electronics	Video Games		Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
Video Games and Consoles	1121	Consumer Electronics	Video Game Consoles		Technology & Computing	IAB19	Technology & Computing	
Video Game Console Accessories	1122	Consumer Electronics	Video Game Console Accessories		Technology & Computing	IAB19	Technology & Computing	
Consumer Packaged Goods	1123	Consumer Packaged Goods			Home & Garden	IAB10-6	Home & Garden	
Baby and Toddler Products	1124	Consumer Packaged Goods	Baby and Toddler Products		Family & Parenting	IAB6	Family & Parenting	
Diapers	1125	Consumer Packaged Goods	Baby and Toddler Products	Diapers	Family & Parenting	IAB6	Family & Parenting	
