Content Taxonomy 1.0 Unique ID	Content Taxonomy 1.0 Tier 1 Value	Content Taxonomy 1.0 Tier 2 Value	Ad Product Taxonomy 2.0 Unique ID	Ad Product Taxonomy 2.0 Tier 1 Value	Ad Product Taxonomy 2.0 Tier 2 Value	Ad Product Taxonomy 2.0 Tier 3 Value
IAB9-8	Hobbies & Interests	Chess	1251	Consumer Packaged Goods	Toys and Games	
IAB9-9	Hobbies & Interests	Cigars	1545	Tobacco	Cigars	
IAB9-10	Hobbies & Interests	Collecting	1075	Collectables and Antiques		
IAB9-11	Hobbies & Interests	Comic Books	1075	Collectables and Antiques		
IAB9-12	Hobbies & Interests	Drawing/Sketching	1008	Culture and Fine Arts		
IAB9-13	Hobbies & Interests	Freelance Writing	1008	Culture and Fine Arts		
IAB9-14	Hobbies & Interests	Genealogy	1332	Family and Parenting	Geneaology and Family Trees	
IAB9-15	Hobbies & Interests	Getting Published	1012	Business and Industrial	Business Services	
IAB9-16	Hobbies & Interests	Guitar	1503	Retail	Musical Instruments and Record Stores	
IAB9-17	Hobbies & Interests	Home Recording	1503	Retail 	Musical Instruments and Record Stores	
IAB9-18	Hobbies & Interests	Investors & Patents	1351	Finance and Insurance	Stocks and Investments	
IAB9-19	Hobbies & Interests	Jewelry Making	1495	Retail	Arts and Crafts Supplies	
IAB9-20	Hobbies & Interests	Magic & Illusion	1315	Events and Performances		
IAB9-21	Hobbies & Interests	Needlework	1495	Retail	Arts and Crafts Supplies	
IAB9-22	Hobbies & Interests	Painting	1008	Culture and Fine Arts		
IAB9-23	Hobbies & Interests	Photography	1008	Culture and Fine Arts		
IAB9-24	Hobbies & Interests	Radio	1433	Media	Radio and Podcasts	
IAB9-25	Hobbies & Interests	Roleplaying Games	1423	Media	Casual Games	
IAB9-26	Hobbies & Interests	Sci-Fi & Fantasy	1419	Media		
IAB9-27	Hobbies & Interests	Scrapbooking	1495	Retail	Arts and Crafts Supplies	
IAB9-28	Hobbies & Interests	Screenwriting	1419	Media		
IAB9-29	Hobbies & Interests	Stamps & Coins	1075	Collectables and Antiques	Stamps	
IAB9-30	Hobbies & Interests	Video & Computer Games	1120	Consumer Electronics	Video Games	
IAB9-31	Hobbies & Interests	Woodworking	1495	Retail	Arts and Crafts Supplies	
IAB10	Home & Garden		1277	Home and Garden Products		
IAB10-1	Home & Garden	Appliances	1277	Home and Garden Products		
IAB10-2	Home & Garden	Entertaining	1277	Home and Garden Products		
IAB10-3	Home & Garden	Environmental Safety	1368	Green/Eco		
IAB10-4	Home & Garden	Gardening	1396	Durable Goods	Home and Garden Products	
IAB10-5	Home & Garden	Home Repair	1396	Home and Garden Services		
IAB10-6	Home & Garden	Home Theater	1112	Consumer Electronics	Home Theater Systems	
IAB10-7	Home & Garden	Interior Decorating	1396	Home and Garden Services		
IAB10-8	Home & Garden	Landscaping	1408	Home and Garden Services	Landscaping Services	
IAB10-9	Home & Garden	Remodeling & Construction	1413	Home and Garden Services	Remodeling and Construction	
IAB11	Law, Gov't & Politics		1474	Politics		
IAB11-1	Law, Gov't & Politics	Immigration	1474	Politics		
IAB11-2	Law, Gov't & Politics	Legal Issues	1416	Legal Services		
IAB11-3	Law, Gov't & Politics	U.S. Government Resources	1474	Politics		
IAB11-4	Law, Gov't & Politics	Politics	1474	Politics		
IAB11-5	Law, Gov't & Politics	Commentary	1478	Politics	Political Analysis and Opinion	
IAB12	News	News	1432	Media	News and Analysis	
IAB12-1	News	International News	1432	Media	News and Analysis	
IAB12-2	News	National News	1432	Media	News and Analysis	
IAB12-3	News	Local News	1432	Media	News and Analysis	
IAB13	Personal Finance		1335	Finance and Insurance		
IAB13-1	Personal Finance	Beginning Investing	1335	Finance and Insurance		
IAB13-2	Personal Finance	Credit/Debt & Loans	1335	Finance and Insurance		
IAB13-3	Personal Finance	Financial News	1335	Finance and Insurance		
IAB13-4	Personal Finance	Financial Planning	1335	Finance and Insurance		
IAB13-5	Personal Finance	Hedge Fund	1351	Finance and Insurance	Stocks and Investments	
IAB13-6	Personal Finance	Insurance	1340	Finance and Insurance	Insurance	
IAB13-7	Personal Finance	Investing	1351	Finance and Insurance	Stocks and Investments	
IAB13-8	Personal Finance	Mutual Funds	1337	Finance and Insurance	Banking	
IAB13-9	Personal Finance	Options	1351	Finance and Insurance	Stocks and Investments	
IAB13-10	Personal Finance	Retirement Planning	1350	Finance and Insurance	Retirement Planning	
IAB13-11	Personal Finance	Stocks	1351	Finance and Insurance	Stocks and Investments	
IAB13-12	Personal Finance	Tax Planning	1354	Finance and Insurance	Tax Preparation Services	
IAB14	Society		1008	Culture and Fine Arts		
IAB14-1	Society	Dating	1259	Dating		
